filename,link
10001.jpg,http://assets.myntassets.com/v1/images/style/properties/021cc52e8426a3d983e4d7ec660a70b2_images.jpg
10003.jpg,http://assets.myntassets.com/v1/images/style/properties/2fc776b82eaaf82497f1a13cf63eb073_images.jpg
10004.jpg,http://assets.myntassets.com/v1/images/style/properties/9556d66f526ab7923d599fdddee1e4b9_images.jpg
10005.jpg,http://assets.myntassets.com/v1/images/style/properties/5dc5a3265be8eeefdbd7c06e43ff6cb9_images.jpg
10007.jpg,http://assets.myntassets.com/v1/images/style/properties/54315bd731592e29d830218599d0a974_images.jpg
10018.jpg,http://assets.myntassets.com/v1/images/style/properties/Nike-Men-Black-Three-Quarter-Track-Pants_38fb020e318c77b678317fe9d16695a0_images.jpg
10029.jpg,http://assets.myntassets.com/v1/images/style/properties/cb273208c26f6ddaf749b9fb11b827b1_images.jpg
10050.jpg,http://assets.myntassets.com/v1/images/style/properties/74bc9f69684b61729b7950ff07114d49_images.jpg
10060.jpg,http://assets.myntassets.com/v1/images/style/properties/c9ea7b775dd14c52b71b265f4544fd17_images.jpg
10070.jpg,http://assets.myntassets.com/v1/images/style/properties/cff49d4482569b840645af1766db33fe_images.jpg
10080.jpg,http://assets.myntassets.com/v1/images/style/properties/15017ddf96926014061a0b06525b554e_images.jpg
